iter	Logloss
0	0.6799567995
1	0.6686265968
2	0.6573214961
3	0.6453148614
4	0.6346661331
5	0.6254065234
6	0.6173976665
7	0.6092262596
8	0.6008905922
9	0.5926112808
10	0.5858637972
11	0.5789237349
12	0.5727974624
13	0.5648407372
14	0.5578671532
15	0.5523010537
16	0.5465087037
17	0.5420736516
18	0.5373106804
19	0.5328733455
20	0.5280757484
21	0.5237200704
22	0.5194423226
23	0.5153627302
24	0.5118248586
25	0.5084337026
26	0.5045373403
27	0.5013593087
28	0.4982875358
29	0.4949782435
30	0.4916880458
31	0.4882643933
32	0.4858393352
33	0.483344374
34	0.4802158809
35	0.4776930275
36	0.4751698033
37	0.4729457269
38	0.4708930524
39	0.4676153363
40	0.4656377578
41	0.4631046763
42	0.4613218432
43	0.4595487341
44	0.4579813315
45	0.4563979038
46	0.4538139605
47	0.4517162987
48	0.4496003935
49	0.448057206
50	0.4463560343
51	0.4443902257
52	0.4432002411
53	0.4414747498
54	0.4402818479
55	0.4390362167
56	0.4371390311
57	0.4355344804
58	0.4340608163
59	0.432781984
60	0.4318661004
61	0.4308999574
62	0.4297526448
63	0.4287240867
64	0.427496372
65	0.4265828171
66	0.4257148387
67	0.4245594393
68	0.4236671749
69	0.4227610821
70	0.4219935551
71	0.4211665452
72	0.4203230029
73	0.419498368
74	0.4182227336
75	0.4174365163
76	0.4168396601
77	0.4162290623
78	0.4148321206
79	0.4138043802
80	0.4131847039
81	0.4123045881
82	0.411759581
83	0.4106716374
84	0.409884084
85	0.4085786526
86	0.4079014605
87	0.4071852775
88	0.4058651257
89	0.4047946672
90	0.4042682211
91	0.4039233362
92	0.4032801433
93	0.4028961866
94	0.4023346009
95	0.4018983733
96	0.4013698083
97	0.4006403696
98	0.3998130082
99	0.3994666108
100	0.3982161173
101	0.3968781524
102	0.3962737132
103	0.3957727357
104	0.3952256392
105	0.3941831447
106	0.3937353224
107	0.3932815337
108	0.3921439326
109	0.3916832535
110	0.3912784733
111	0.3908816731
112	0.3898113668
113	0.3893555262
114	0.3890027319
115	0.3884959257
116	0.3881454226
117	0.3876335876
118	0.3871550553
119	0.3863716403
120	0.3859712001
121	0.3856261524
122	0.3852783943
123	0.3847181071
124	0.3844388605
125	0.3839303314
126	0.3835084476
127	0.3831464504
128	0.3828592692
