Class,precision,recall,f1-score,support
0,0.8926417370325693,0.7142857142857143,0.7935656836461126,1036.0
1,0.4896551724137931,0.7613941018766756,0.5960125918153201,373.0
accuracy,0.7267565649396736,0.7267565649396736,0.7267565649396736,0.7267565649396736
macro avg,0.6911484547231812,0.7378399080811949,0.6947891377307163,1409.0
weighted avg,0.7859604108417932,0.7267565649396736,0.7412680943963713,1409.0
