,precision,recall,f1-score,support
0,0.9030373831775701,0.7461389961389961,0.8171247357293869,1036.0
1,0.5244122965641953,0.7774798927613941,0.6263498920086393,373.0
accuracy,0.7544357700496807,0.7544357700496807,0.7544357700496807,0.7544357700496807
macro avg,0.7137248398708826,0.761809444450195,0.7217373138690131,1409.0
weighted avg,0.8028051920442919,0.7544357700496807,0.7666215301170102,1409.0
